Date,Open,High,Low,Close,Adj Close,Volume,Daily_Change,Daily_Pct_Change,Normalized_Change
2020-05-26,427.77,428.5,413.14,414.77,414.77,7881100,-13.0,-3.04,1.0
2020-05-27,410.38,420.02,397.86,419.89,419.89,10446300,9.51,2.32,1.01
2020-05-28,417.24,422.37,411.5,413.44,413.44,5655100,-3.8,-0.91,1.0
2020-05-29,417.46,420.3,411.85,419.73,419.73,5254900,2.27,0.54,1.01
2020-06-01,418.83,426.72,415.98,425.92,425.92,3743700,7.09,1.69,1.03
2020-06-02,425.87,427.59,419.46,427.31,427.31,3494800,1.44,0.34,1.03
2020-06-03,426.95,427.1,418.05,421.97,421.97,4316000,-4.98,-1.17,1.02
2020-06-04,422.39,428.71,410.03,414.33,414.33,5410500,-8.06,-1.91,1.0
2020-06-05,407.29,420.24,404.25,419.6,419.6,5099600,12.31,3.02,1.01
2020-06-08,416.0,420.8,406.5,419.49,419.49,5851500,3.49,0.84,1.01
2020-06-09,421.65,434.73,420.31,434.05,434.05,6797000,12.4,2.94,1.05
2020-06-10,436.0,439.69,430.55,434.48,434.48,4896900,-1.52,-0.35,1.05
2020-06-11,428.2,445.57,424.16,425.56,425.56,7462900,-2.64,-0.62,1.03
2020-06-12,429.0,434.06,412.45,418.07,418.07,6461100,-10.93,-2.55,1.01
2020-06-15,421.4,426.49,415.42,425.5,425.5,4467900,4.1,0.97,1.03
2020-06-16,425.76,437.96,425.18,436.13,436.13,5507900,10.37,2.44,1.05
2020-06-17,441.82,450.46,439.22,447.77,447.77,6529600,5.95,1.35,1.08
2020-06-18,448.73,452.76,442.8,449.87,449.87,4277600,1.14,0.25,1.08
2020-06-19,449.12,453.97,445.6,453.72,453.72,5934500,4.6,1.02,1.09
2020-06-22,455.01,468.59,454.21,468.04,468.04,6272100,13.03,2.86,1.13
2020-06-23,466.5,474.01,464.5,466.26,466.26,5948400,-0.24,-0.05,1.12
2020-06-24,468.54,472.36,454.0,457.85,457.85,4826200,-10.69,-2.28,1.1
2020-06-25,458.86,467.01,454.0,465.91,465.91,4134500,7.05,1.54,1.12
2020-06-26,466.39,468.03,442.24,443.4,443.4,6804700,-22.99,-4.93,1.07
2020-06-29,445.23,447.67,432.14,447.24,447.24,4844000,2.01,0.45,1.08
2020-06-30,450.02,457.59,447.0,455.04,455.04,4198500,5.02,1.12,1.1
2020-07-01,454.0,488.23,454.0,485.64,485.64,9705900,31.64,6.97,1.17
2020-07-02,485.64,492.28,475.53,476.89,476.89,6351500,-8.75,-1.8,1.15
2020-07-06,480.77,499.5,479.8,493.81,493.81,7839000,13.04,2.71,1.19
2020-07-07,497.31,504.82,490.83,493.16,493.16,5669900,-4.15,-0.83,1.19
2020-07-08,498.58,505.1,493.81,502.78,502.78,5691700,4.2,0.84,1.21
2020-07-09,508.4,510.0,495.78,507.76,507.76,5840500,-0.64,-0.13,1.22
2020-07-10,519.73,555.88,511.28,548.73,548.73,21605600,29.0,5.58,1.32
2020-07-13,567.98,575.37,520.96,525.5,525.5,18399000,-42.48,-7.48,1.27
2020-07-14,517.08,525.5,490.49,524.88,524.88,15083300,7.8,1.51,1.27
2020-07-15,516.3,529.0,510.18,523.26,523.26,10066700,6.96,1.35,1.26
2020-07-16,526.48,535.54,504.36,527.39,527.39,24499000,0.91,0.17,1.27
2020-07-17,494.87,503.59,484.14,492.99,492.99,24991400,-1.88,-0.38,1.19
2020-07-20,489.14,504.5,484.2,502.41,502.41,11940300,13.27,2.71,1.21
2020-07-21,506.0,506.22,488.61,490.1,490.1,9113700,-15.9,-3.14,1.18
2020-07-22,492.19,497.2,487.2,489.82,489.82,6954100,-2.37,-0.48,1.18
2020-07-23,491.13,491.9,472.02,477.58,477.58,7722000,-13.55,-2.76,1.15
2020-07-24,468.77,487.17,467.54,480.45,480.45,7746200,11.68,2.49,1.16
2020-07-27,484.51,496.92,482.31,495.65,495.65,7863100,11.14,2.3,1.19
2020-07-28,496.02,497.79,487.76,488.51,488.51,5986700,-7.51,-1.51,1.18
2020-07-29,492.25,494.92,484.13,484.48,484.48,6611800,-7.77,-1.58,1.17
2020-07-30,480.71,488.35,477.51,485.8,485.8,6608600,5.09,1.06,1.17
2020-07-31,488.29,494.8,484.5,488.88,488.88,5916300,0.59,0.12,1.18
2020-08-03,490.86,503.09,490.23,498.62,498.62,5873100,7.76,1.58,1.2
2020-08-04,498.65,510.44,498.65,509.64,509.64,5608000,10.99,2.2,1.23
2020-08-05,508.68,510.1,501.2,502.11,502.11,4308200,-6.57,-1.29,1.21
2020-08-06,504.11,510.82,498.7,509.08,509.08,3725900,4.97,0.99,1.23
2020-08-07,505.45,508.29,486.68,494.73,494.73,5910300,-10.72,-2.12,1.19
2020-08-10,493.35,497.46,478.63,483.38,483.38,4691200,-9.97,-2.02,1.17
2020-08-11,479.75,480.92,466.55,466.93,466.93,7329200,-12.82,-2.67,1.13
2020-08-12,471.34,482.49,470.18,475.47,475.47,5439200,4.13,0.88,1.15
2020-08-13,478.4,484.45,476.45,481.33,481.33,3008900,2.93,0.61,1.16
2020-08-14,482.82,488.33,480.21,482.68,482.68,2943500,-0.14,-0.03,1.16
2020-08-17,484.19,486.24,479.1,482.35,482.35,2423500,-1.84,-0.38,1.16
2020-08-18,484.35,495.3,482.8,491.87,491.87,3505500,7.52,1.55,1.19
2020-08-19,493.93,494.5,483.5,484.53,484.53,3156200,-9.4,-1.9,1.17
2020-08-20,484.69,498.94,483.89,497.9,497.9,5132500,13.21,2.73,1.2
2020-08-21,496.46,498.13,490.0,492.31,492.31,3921300,-4.15,-0.84,1.19
2020-08-24,495.44,501.0,483.16,488.81,488.81,4762200,-6.63,-1.34,1.18
2020-08-25,488.19,492.47,485.09,490.58,490.58,5727700,2.39,0.49,1.18
2020-08-26,492.5,549.04,492.08,547.53,547.53,20373700,55.03,11.17,1.32
2020-08-27,537.78,541.0,521.25,526.27,526.27,9062900,-11.51,-2.14,1.27
2020-08-28,532.0,539.0,522.0,523.89,523.89,4417500,-8.11,-1.52,1.26
2020-08-31,521.16,531.99,517.58,529.56,529.56,4941400,8.4,1.61,1.28
2020-09-01,532.6,557.39,532.45,556.55,556.55,9572700,23.95,4.5,1.34
2020-09-02,553.78,556.5,537.37,552.84,552.84,5886900,-0.94,-0.17,1.33
2020-09-03,545.0,554.0,521.32,525.75,525.75,9071100,-19.25,-3.53,1.27
2020-09-04,520.18,527.36,485.98,516.05,516.05,8270100,-4.13,-0.79,1.24
2020-09-08,498.4,522.0,495.0,507.02,507.02,5572700,8.62,1.73,1.22
2020-09-09,519.21,520.0,492.57,500.19,500.19,6848100,-19.02,-3.66,1.21
2020-09-10,503.35,506.29,478.84,480.67,480.67,6240200,-22.68,-4.51,1.16
2020-09-11,486.49,493.73,476.81,482.03,482.03,5035200,-4.46,-0.92,1.16
2020-09-14,480.62,488.99,471.3,476.26,476.26,7359100,-4.36,-0.91,1.15
2020-09-15,484.0,497.47,481.63,495.99,495.99,5337000,11.99,2.48,1.2
2020-09-16,499.99,504.66,483.31,483.86,483.86,4394900,-16.13,-3.23,1.17
2020-09-17,475.16,478.4,463.27,470.2,470.2,5379300,-4.96,-1.04,1.13
2020-09-18,472.51,479.4,458.6,469.96,469.96,6717700,-2.55,-0.54,1.13
2020-09-21,467.69,487.78,466.32,487.35,487.35,5457500,19.66,4.2,1.17
2020-09-22,489.01,491.82,479.26,491.17,491.17,3482300,2.16,0.44,1.18
2020-09-23,491.04,491.04,469.0,470.61,470.61,3726400,-20.43,-4.16,1.13
2020-09-24,470.53,477.0,467.82,473.08,473.08,3727200,2.55,0.54,1.14
2020-09-25,474.39,484.87,468.03,482.88,482.88,3769400,8.49,1.79,1.16
2020-09-28,489.11,492.0,477.88,490.65,490.65,4773500,1.54,0.31,1.18
2020-09-29,489.5,496.29,486.53,493.48,493.48,3541500,3.98,0.81,1.19
