Date,Open,High,Low,Close,Adj Close,Volume,Daily_Change,Daily_Pct_Change,Normalized_Change
2020-05-26,166.9,166.92,163.14,163.77,163.77,40448500,-3.13,-1.87,1.0
2020-05-27,164.17,165.54,157.0,164.05,164.05,57747500,-0.13,-0.08,1.0
2020-05-28,162.7,164.95,160.34,161.16,161.16,36278000,-1.54,-0.95,0.98
2020-05-29,161.75,167.0,160.84,167.0,167.0,58822500,5.25,3.25,1.02
2020-06-01,171.6,179.8,170.82,179.62,179.62,74697500,8.02,4.67,1.1
2020-06-02,178.94,181.73,174.2,176.31,176.31,67828000,-2.63,-1.47,1.08
2020-06-03,177.62,179.59,176.02,176.59,176.59,39747500,-1.03,-0.58,1.08
2020-06-04,177.98,179.15,171.69,172.88,172.88,44438500,-5.1,-2.87,1.06
2020-06-05,175.57,177.3,173.24,177.13,177.13,39059500,1.56,0.89,1.08
2020-06-08,183.8,190.0,181.83,189.98,189.98,70873500,6.18,3.36,1.16
2020-06-09,188.0,190.89,184.79,188.13,188.13,56941000,0.13,0.07,1.15
2020-06-10,198.38,205.5,196.5,205.01,205.01,92817000,6.63,3.34,1.25
2020-06-11,198.04,203.79,194.4,194.57,194.57,79582500,-3.47,-1.75,1.19
2020-06-12,196.0,197.6,182.52,187.06,187.06,83817000,-8.94,-4.56,1.14
2020-06-15,183.56,199.77,181.7,198.18,198.18,78486000,14.62,7.97,1.21
2020-06-16,202.37,202.58,192.48,196.43,196.43,70255500,-5.94,-2.94,1.2
2020-06-17,197.54,201.0,196.51,198.36,198.36,49454000,0.82,0.41,1.21
2020-06-18,200.6,203.84,198.89,200.79,200.79,48759500,0.19,0.1,1.23
2020-06-19,202.56,203.19,198.27,200.18,200.18,43398500,-2.38,-1.17,1.22
2020-06-22,199.99,201.78,198.0,198.86,198.86,31812000,-1.13,-0.56,1.21
2020-06-23,199.78,202.4,198.8,200.36,200.36,31826500,0.58,0.29,1.22
2020-06-24,198.82,200.18,190.63,192.17,192.17,54798000,-6.65,-3.35,1.17
2020-06-25,190.85,197.2,187.43,197.2,197.2,46272500,6.34,3.32,1.2
2020-06-26,198.96,199.0,190.97,191.95,191.95,44274500,-7.01,-3.52,1.17
2020-06-29,193.8,202.0,189.7,201.87,201.87,45132000,8.07,4.16,1.23
2020-06-30,201.3,217.54,200.75,215.96,215.96,84592500,14.66,7.28,1.32
2020-07-01,216.6,227.07,216.1,223.93,223.93,66634500,7.33,3.38,1.37
2020-07-02,244.3,245.6,237.12,241.73,241.73,86250500,-2.56,-1.05,1.48
2020-07-06,255.34,275.56,253.21,274.32,274.32,102849500,18.98,7.43,1.67
2020-07-07,281.0,285.9,267.34,277.97,277.97,107448500,-3.03,-1.08,1.7
2020-07-08,281.0,283.45,262.27,273.18,273.18,81556500,-7.82,-2.78,1.67
2020-07-09,279.4,281.71,270.26,278.86,278.86,58588000,-0.54,-0.19,1.7
2020-07-10,279.2,309.78,275.2,308.93,308.93,116688000,29.73,10.65,1.89
2020-07-13,331.8,359.0,294.22,299.41,299.41,194927000,-32.39,-9.76,1.83
2020-07-14,311.2,318.0,286.2,303.36,303.36,117090500,-7.84,-2.52,1.85
2020-07-15,308.6,310.0,291.4,309.2,309.2,81839000,0.6,0.2,1.89
2020-07-16,295.43,306.34,293.2,300.13,300.13,71504000,4.7,1.59,1.83
2020-07-17,302.69,307.5,298.0,300.17,300.17,46650000,-2.52,-0.83,1.83
2020-07-20,303.8,330.0,297.6,328.6,328.6,85607000,24.8,8.16,2.01
2020-07-21,327.99,335.0,311.6,313.67,313.67,80536000,-14.31,-4.36,1.92
2020-07-22,319.8,325.28,312.4,318.47,318.47,70805500,-1.33,-0.42,1.94
2020-07-23,335.79,337.8,296.15,302.61,302.61,121642500,-33.18,-9.88,1.85
2020-07-24,283.2,293.0,273.31,283.4,283.4,96983000,0.2,0.07,1.73
2020-07-27,287.0,309.59,282.6,307.92,307.92,80243500,20.92,7.29,1.88
2020-07-28,300.8,312.94,294.88,295.3,295.3,79043500,-5.5,-1.83,1.8
2020-07-29,300.2,306.96,297.4,299.82,299.82,47134500,-0.38,-0.13,1.83
2020-07-30,297.6,302.65,294.2,297.5,297.5,38105000,-0.1,-0.03,1.82
